FECHA,FUENTE,ARTICULO,PROMEDIO,MINIMO,MAXIMO
03/01/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4075,4000,4500
10/01/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4567,4000,5000
17/01/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4483,4000,5000
24/01/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4117,3500,4500
31/01/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3738,3500,4000
07/02/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4000,4000,4000
14/02/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4048,4000,4500
21/02/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4050,4000,4500
20/03/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4502,4500,4600
27/03/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4293,4000,4600
03/04/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4383,4000,4600
10/04/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4475,4000,4600
17/04/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4175,4000,4500
24/04/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4113,4000,4500
01/05/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4121,4000,4500
08/05/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4110,4000,4500
15/05/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4265,4000,4500
22/05/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4234,3800,4500
29/05/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4595,4400,4800
05/06/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4540,4500,4800
26/06/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4363,4000,4500
03/07/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4044,3900,4300
10/07/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3744,3500,4000
17/07/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3990,3500,4000
24/07/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3989,3900,4000
31/07/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3951,3500,4000
07/08/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3877,3500,4000
14/08/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,3942,3500,4000
28/08/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4182,4000,4500
04/09/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4621,4300,5000
11/09/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4825,4500,5000
18/09/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4829,4500,5000
25/09/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4593,4400,4800
02/10/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4996,4800,5000
09/10/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,5144,5000,5500
16/10/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,5344,4000,5500
30/10/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4740,4000,5000
06/11/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4821,4500,5000
13/11/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4976,4500,5000
20/11/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4836,4500,5000
27/11/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4743,4500,5000
04/12/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4706,4000,5000
11/12/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4296,4000,4500
18/12/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4488,4200,5000
25/12/2020,"Bogotá, D.C., Corabastos",Aguacate Hass,4479,4200,4800
01/01/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4215,4000,4500
08/01/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4413,4000,4600
15/01/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4988,4800,5000
22/01/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4792,4500,5000
29/01/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4230,3500,4800
05/02/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4100,0,4500
12/02/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4233,0,4500
19/02/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4588,0,5000
26/02/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4597,0,5000
05/03/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4510,0,4800
12/03/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4812,4500,5000
19/03/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5029,5000,5300
26/03/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5248,5000,5500
02/04/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5368,5000,5500
09/04/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5447,5000,5800
16/04/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,6101,5700,6500
23/04/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,6351,6000,6500
30/04/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5983,5500,6500
07/05/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,6408,5800,7000
14/05/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,7247,7000,8000
21/05/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,6833,6000,7500
28/05/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,6028,5500,7000
04/06/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5287,4800,6000
11/06/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5028,5000,5500
18/06/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4888,4500,5000
25/06/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4919,4500,5000
02/07/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4858,4500,5000
09/07/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4653,4300,5000
16/07/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4633,4000,5000
23/07/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4851,4500,5000
30/07/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4872,4500,5000
06/08/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4922,4500,5500
13/08/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4841,4500,5000
20/08/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4899,4500,5000
27/08/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4887,4500,5000
03/09/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4976,4500,5500
10/09/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5524,5000,6000
17/09/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5963,5500,6200
24/09/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5922,5500,6200
01/10/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5518,5200,6000
08/10/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5840,5000,6000
15/10/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5833,5400,6000
22/10/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5842,5000,6000
29/10/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5788,5000,6000
05/11/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5863,5500,6000
12/11/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5942,5800,6000
19/11/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5944,5800,6000
26/11/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5898,5500,6000
03/12/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5554,5000,6000
10/12/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5720,0,5900
17/12/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5519,0,5900
24/12/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,5506,5300,5600
31/12/2021,"Bogotá, D.C., Corabastos",Aguacate Hass,4999,0,5500
